id,name,city,country
1,Branch no. 119 in Balingueo,Balingueo,Philippines
2,Branch no. 97 in Boyle,Boyle,Ireland
3,Branch no. 30 in Ribeiro,Ribeiro,Portugal
4,Branch no. 96 in Manicaragua,Manicaragua,Cuba
5,Branch no. 83 in Sulang Tengah,Sulang Tengah,Indonesia
6,Branch no. 265 in Hidalgo,Hidalgo,Mexico
7,Branch no. 297 in Jhumra,Jhumra,Pakistan
8,Branch no. 259 in Kraków,Kraków,Poland
9,Branch no. 193 in Tsiombe,Tsiombe,Madagascar
10,Branch no. 292 in Baranowo,Baranowo,Poland
11,Branch no. 220 in Weekombaka,Weekombaka,Indonesia
12,Branch no. 258 in Gryfino,Gryfino,Poland
13,Branch no. 54 in Sigetec,Sigetec,Croatia
14,Branch no. 263 in Kelaniya,Kelaniya,Sri Lanka
15,Branch no. 113 in Farrokh Shahr,Farrokh Shahr,Iran
16,Branch no. 62 in Aleksandrovka,Aleksandrovka,Ukraine
17,Branch no. 69 in Sinchao,Sinchao,Peru
18,Branch no. 78 in Grodków,Grodków,Poland
19,Branch no. 271 in Rēzekne,Rēzekne,Latvia
20,Branch no. 29 in Parintins,Parintins,Brazil
21,Branch no. 61 in Santana do Paraíso,Santana do Paraíso,Brazil
22,Branch no. 216 in San Julian,San Julian,Philippines
23,Branch no. 161 in Saint-Quentin-en-Yvelines,Saint-Quentin-en-Yvelines,France
24,Branch no. 304 in Warszawa,Warszawa,Poland
25,Branch no. 47 in Hamakita,Hamakita,Japan